timestamp,batch_id,modelo,icrl,oponente,victoria,turnos,pokemon_vivos,tokens_gastados,decisiones,cambios,forzados,fallbacks
2026-06-28 00:14:48,20260628_001448,gpt-4o-mini,False,HeuristicPlayer,0,18,0,54301,23,4,5,1
2026-06-28 00:14:48,20260628_001448,gpt-4o-mini,False,HeuristicPlayer,0,17,0,51438,22,1,5,0
2026-06-28 00:14:48,20260628_001448,gpt-4o-mini,False,HeuristicPlayer,0,17,0,51544,22,7,5,0
2026-06-28 00:14:48,20260628_001448,gpt-4o-mini,False,HeuristicPlayer,0,13,0,42137,18,1,5,0
2026-06-28 00:14:48,20260628_001448,gpt-4o-mini,False,HeuristicPlayer,0,47,0,124176,52,8,5,0
2026-06-28 00:14:48,20260628_001448,gpt-4o-mini,False,HeuristicPlayer,0,25,0,71644,30,1,5,0
2026-06-28 00:14:48,20260628_001448,gpt-4o-mini,False,HeuristicPlayer,0,39,0,105536,44,10,5,0
2026-06-28 00:14:48,20260628_001448,gpt-4o-mini,False,HeuristicPlayer,0,17,0,52046,22,4,5,0
2026-06-28 00:14:48,20260628_001448,gpt-4o-mini,False,HeuristicPlayer,0,14,0,44558,19,1,5,0
2026-06-28 00:14:48,20260628_001448,gpt-4o-mini,False,HeuristicPlayer,0,22,0,63825,27,9,5,0
2026-06-28 00:14:48,20260628_001448,gpt-4o-mini,False,HeuristicPlayer,0,22,0,64337,27,7,5,0
2026-06-28 00:14:48,20260628_001448,gpt-4o-mini,False,HeuristicPlayer,0,20,0,59667,25,1,5,0
2026-06-28 00:14:48,20260628_001448,gpt-4o-mini,False,HeuristicPlayer,0,21,0,61842,26,3,5,0
2026-06-28 00:14:48,20260628_001448,gpt-4o-mini,False,HeuristicPlayer,0,27,0,76579,32,9,5,0
2026-06-28 00:14:48,20260628_001448,gpt-4o-mini,False,HeuristicPlayer,0,21,0,60861,26,0,5,0
2026-06-28 00:14:48,20260628_001448,gpt-4o-mini,False,HeuristicPlayer,0,30,0,86345,36,8,6,0
2026-06-28 00:14:48,20260628_001448,gpt-4o-mini,False,HeuristicPlayer,0,17,0,51462,22,1,5,0
2026-06-28 00:14:48,20260628_001448,gpt-4o-mini,False,HeuristicPlayer,0,19,0,58317,25,4,5,1
2026-06-28 00:14:48,20260628_001448,gpt-4o-mini,False,HeuristicPlayer,0,17,0,51682,22,7,5,0
2026-06-28 00:14:48,20260628_001448,gpt-4o-mini,False,HeuristicPlayer,0,23,0,66572,28,3,5,0
2026-06-28 00:14:48,20260628_001448,gpt-4o-mini,False,HeuristicPlayer,0,22,0,63105,27,5,5,0
2026-06-28 00:14:48,20260628_001448,gpt-4o-mini,False,HeuristicPlayer,0,13,0,41833,18,0,5,0
2026-06-28 00:14:48,20260628_001448,gpt-4o-mini,False,HeuristicPlayer,1,17,3,48260,20,2,3,0
2026-06-28 00:14:48,20260628_001448,gpt-4o-mini,False,HeuristicPlayer,0,16,0,49054,21,3,5,0
2026-06-28 00:14:48,20260628_001448,gpt-4o-mini,False,HeuristicPlayer,0,12,0,39921,17,1,5,0
2026-06-28 00:14:48,20260628_001448,gpt-4o-mini,False,HeuristicPlayer,0,21,0,61706,26,3,5,0
2026-06-28 00:14:48,20260628_001448,gpt-4o-mini,False,HeuristicPlayer,0,20,0,59286,25,2,5,0
2026-06-28 00:14:48,20260628_001448,gpt-4o-mini,False,HeuristicPlayer,0,10,0,34932,15,1,5,0
2026-06-28 00:14:48,20260628_001448,gpt-4o-mini,False,HeuristicPlayer,0,24,0,68353,29,1,5,0
2026-06-28 00:14:48,20260628_001448,gpt-4o-mini,False,HeuristicPlayer,1,18,3,50625,21,2,3,0
2026-06-28 00:14:48,20260628_001448,gpt-4o-mini,False,HeuristicPlayer,0,16,0,49987,21,6,5,0
2026-06-28 00:14:48,20260628_001448,gpt-4o-mini,False,HeuristicPlayer,0,21,0,62650,27,5,5,1
2026-06-28 00:14:48,20260628_001448,gpt-4o-mini,False,HeuristicPlayer,0,15,0,47548,20,4,5,0
2026-06-28 00:14:48,20260628_001448,gpt-4o-mini,False,HeuristicPlayer,0,19,0,57005,24,3,5,0
2026-06-28 00:14:48,20260628_001448,gpt-4o-mini,False,HeuristicPlayer,0,13,0,41297,18,2,5,0
2026-06-28 00:14:48,20260628_001448,gpt-4o-mini,False,HeuristicPlayer,0,15,0,45895,20,4,5,0
