timestamp,batch_id,modelo,oponente,victoria,turnos,pokemon_vivos,tokens_gastados,decisiones,cambios,forzados,fallbacks
2026-06-21 22:00:41,20260621_220041,meta-llama/llama-3.3-70b-instruct,HeuristicPlayer,0,18,0,59952,23,3,5,0
2026-06-21 22:00:41,20260621_220041,meta-llama/llama-3.3-70b-instruct,HeuristicPlayer,0,8,0,33132,13,0,5,0
2026-06-21 22:00:41,20260621_220041,meta-llama/llama-3.3-70b-instruct,HeuristicPlayer,0,16,0,53849,21,0,5,0
2026-06-21 22:00:41,20260621_220041,meta-llama/llama-3.3-70b-instruct,HeuristicPlayer,0,18,0,59729,23,1,5,0
2026-06-21 22:00:41,20260621_220041,meta-llama/llama-3.3-70b-instruct,HeuristicPlayer,1,21,3,61676,24,1,3,0
2026-06-21 22:00:41,20260621_220041,meta-llama/llama-3.3-70b-instruct,HeuristicPlayer,1,19,1,62134,24,1,5,0
2026-06-21 22:00:41,20260621_220041,meta-llama/llama-3.3-70b-instruct,HeuristicPlayer,0,21,0,67803,26,4,5,0
2026-06-21 22:00:41,20260621_220041,meta-llama/llama-3.3-70b-instruct,HeuristicPlayer,1,18,3,56251,21,0,3,0
2026-06-21 22:00:41,20260621_220041,meta-llama/llama-3.3-70b-instruct,HeuristicPlayer,0,22,0,69848,27,0,5,0
2026-06-21 22:00:41,20260621_220041,meta-llama/llama-3.3-70b-instruct,HeuristicPlayer,0,18,0,59582,23,1,5,0
2026-06-21 22:00:41,20260621_220041,meta-llama/llama-3.3-70b-instruct,HeuristicPlayer,0,18,0,60168,23,0,5,0
2026-06-21 22:00:41,20260621_220041,meta-llama/llama-3.3-70b-instruct,HeuristicPlayer,0,18,0,60442,23,1,5,0
2026-06-21 22:00:41,20260621_220041,meta-llama/llama-3.3-70b-instruct,HeuristicPlayer,0,23,0,69652,28,1,5,0
2026-06-21 22:00:41,20260621_220041,meta-llama/llama-3.3-70b-instruct,HeuristicPlayer,1,24,2,72996,28,2,4,0
2026-06-21 22:00:41,20260621_220041,meta-llama/llama-3.3-70b-instruct,HeuristicPlayer,0,17,0,60720,24,0,7,0
2026-06-21 22:00:41,20260621_220041,meta-llama/llama-3.3-70b-instruct,HeuristicPlayer,1,20,1,65299,25,1,5,0
2026-06-21 22:00:41,20260621_220041,meta-llama/llama-3.3-70b-instruct,HeuristicPlayer,0,17,0,58532,23,1,5,1
2026-06-21 22:00:41,20260621_220041,meta-llama/llama-3.3-70b-instruct,HeuristicPlayer,0,18,0,59903,23,0,5,0
2026-06-21 22:00:41,20260621_220041,meta-llama/llama-3.3-70b-instruct,HeuristicPlayer,1,25,1,76701,30,3,5,0
2026-06-21 22:00:41,20260621_220041,meta-llama/llama-3.3-70b-instruct,HeuristicPlayer,0,11,0,45123,18,0,6,1
2026-06-21 22:00:41,20260621_220041,meta-llama/llama-3.3-70b-instruct,HeuristicPlayer,0,18,0,59507,23,0,5,0
2026-06-21 22:00:41,20260621_220041,meta-llama/llama-3.3-70b-instruct,HeuristicPlayer,1,20,1,65444,25,2,5,0
2026-06-21 22:00:41,20260621_220041,meta-llama/llama-3.3-70b-instruct,HeuristicPlayer,0,24,0,75374,29,0,5,0
2026-06-21 22:00:41,20260621_220041,meta-llama/llama-3.3-70b-instruct,HeuristicPlayer,0,19,0,61611,24,1,5,0
2026-06-21 22:00:41,20260621_220041,meta-llama/llama-3.3-70b-instruct,HeuristicPlayer,1,18,2,57056,22,1,4,0
2026-06-21 22:00:41,20260621_220041,meta-llama/llama-3.3-70b-instruct,HeuristicPlayer,0,16,0,54262,21,1,5,0
